timestamp,iter,loss,vis_M,pts_M,vis_pct,blk,alloc_gb,rsv_gb,it_s,elapsed
"0323,13:31",14000,0.0968,1.39,4.35,31.9,8,0.35,0.73,18.0,
"0323,13:32",14010,0.0953,1.04,4.35,23.8,8,0.37,1.14,18.0,
"0323,13:32",14020,0.104,1.19,4.35,27.3,8,0.34,0.6,18.0,
"0323,13:32",14030,0.0946,1.11,4.35,25.5,8,0.31,1.22,17.9,
"0323,13:32",14040,0.0881,0.99,4.35,22.9,8,0.34,0.64,17.9,
"0323,13:32",14050,0.0909,0.6,4.35,13.7,8,0.36,1.12,17.9,
"0323,13:32",14060,0.0791,1.01,4.35,23.2,8,0.28,1.22,17.9,
"0323,13:32",14070,0.0817,0.71,4.35,16.2,8,0.29,0.88,17.9,
"0323,13:32",14080,0.0834,1.12,4.35,25.7,8,0.36,1.26,17.9,
"0323,13:32",14090,0.0827,0.89,4.35,20.4,8,0.33,1.19,17.9,
"0323,13:32",14100,0.0815,0.93,4.37,21.2,8,0.33,0.54,17.9,
